time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2023-04-29,9.9,4.5,13.1,,,250.0,14.7,,1006.0,,krasnoyarsk
2023-04-30,3.1,-0.4,6.4,,,276.0,11.7,,1008.2,,krasnoyarsk
2023-05-01,1.4,-1.9,5.1,,,265.0,9.0,,1011.4,,krasnoyarsk
2023-05-02,2.7,-2.3,7.0,,,280.0,7.4,,1019.0,,krasnoyarsk
2023-05-03,4.4,-0.5,9.3,,,322.0,6.3,,1027.2,,krasnoyarsk
2023-05-04,5.2,-3.0,12.2,,,125.0,3.8,,1030.7,,krasnoyarsk
2023-05-05,9.1,1.1,14.9,,,211.0,13.6,,1026.4,,krasnoyarsk
2023-05-06,14.4,9.3,20.5,,,248.0,11.0,,1023.7,,krasnoyarsk
2023-05-07,13.3,4.3,21.5,,,60.0,5.2,,1024.3,,krasnoyarsk
2023-05-08,16.5,4.5,25.7,,,146.0,4.4,,1017.7,,krasnoyarsk
2023-05-09,18.0,9.1,25.0,,,251.0,11.7,,1012.0,,krasnoyarsk
2023-05-10,8.3,3.4,11.7,,,323.0,9.1,,1023.0,,krasnoyarsk
2023-05-11,9.0,-0.8,16.3,,,126.0,5.3,,1021.2,,krasnoyarsk
2023-05-12,9.8,5.8,14.3,,,288.0,11.2,,1009.0,,krasnoyarsk
2023-05-13,3.2,-0.1,6.3,,,289.0,11.3,,1016.8,,krasnoyarsk
2023-05-14,4.4,-4.3,11.5,,,332.0,5.2,,1014.0,,krasnoyarsk
2023-05-15,8.0,-0.9,15.1,,,298.0,9.9,,1006.8,,krasnoyarsk
2023-05-16,8.1,1.8,12.8,,,223.0,9.6,,1010.0,,krasnoyarsk
2023-05-17,5.8,4.4,7.6,,,253.0,15.6,,1011.3,,krasnoyarsk
2023-05-18,7.5,3.4,11.9,,,295.0,15.8,,1023.0,,krasnoyarsk
2023-05-19,8.5,1.2,14.5,,,288.0,7.6,,1029.0,,krasnoyarsk
2023-05-20,11.2,1.0,18.4,,,102.0,5.0,,1027.7,,krasnoyarsk
2023-05-21,14.1,2.5,21.7,,,57.0,6.4,,1019.3,,krasnoyarsk
2023-05-22,15.2,5.4,21.3,,,309.0,8.3,,1015.5,,krasnoyarsk
2023-05-23,14.4,7.0,19.8,,,308.0,12.1,,1016.3,,krasnoyarsk
2023-05-24,10.8,5.8,12.9,,,308.0,15.5,,1014.9,,krasnoyarsk
2023-05-25,7.0,1.3,12.0,,,332.0,7.8,,1020.5,,krasnoyarsk
2023-05-26,8.6,0.4,13.7,,,356.0,7.6,,1021.1,,krasnoyarsk
2023-05-27,11.2,5.9,16.5,,,21.0,7.5,,1022.0,,krasnoyarsk
2023-05-28,13.1,3.6,19.8,,,44.0,7.3,,1020.0,,krasnoyarsk
2023-05-29,14.7,7.3,20.7,,,35.0,8.2,,1016.7,,krasnoyarsk
2023-05-30,11.6,10.0,13.8,,,307.0,6.7,,1016.0,,krasnoyarsk
2023-05-31,14.2,8.8,20.3,,,265.0,6.4,,1019.3,,krasnoyarsk
2023-06-01,17.0,7.4,24.7,,,248.0,5.1,,1020.8,,krasnoyarsk
2023-06-02,19.9,8.9,28.2,,,227.0,8.8,,1020.2,,krasnoyarsk
2023-06-03,21.3,15.3,29.1,,,237.0,11.8,,1018.9,,krasnoyarsk
2023-06-04,20.2,13.5,26.7,,,308.0,6.2,,1019.7,,krasnoyarsk
2023-06-05,22.8,12.0,32.1,,,227.0,11.9,,1013.7,,krasnoyarsk
2023-06-06,24.0,15.3,31.5,,,278.0,7.7,,1011.8,,krasnoyarsk
2023-06-07,25.1,15.4,33.2,,,173.0,5.6,,1011.3,,krasnoyarsk
2023-06-08,26.2,16.0,33.9,,,187.0,6.6,,1007.5,,krasnoyarsk
2023-06-09,25.2,17.5,32.7,,,208.0,8.5,,1004.9,,krasnoyarsk
2023-06-10,18.7,14.5,20.8,,,296.0,11.7,,1008.7,,krasnoyarsk
2023-06-11,15.5,11.6,20.3,,,353.0,10.8,,1018.3,,krasnoyarsk
2023-06-12,15.2,8.1,21.2,,,55.0,9.2,,1016.8,,krasnoyarsk
2023-06-13,15.0,9.5,19.3,,,253.0,8.5,,1013.3,,krasnoyarsk
